NOMBRE DEL INDICADOR,variable,value,año,mes
Morosidad de Cartera Productiva,BP COMERCIAL DE MANABI,1.70646681,2022,1
Morosidad de Cartera de Microcrédito,BP COMERCIAL DE MANABI,12.32791122,2022,1
Morosidad de Cartera de Consumo,BP LITORAL,7.74506232,2022,1
Morosidad de Cartera de Vivienda,BP LITORAL,29.57595827,2022,1
Morosidad de Cartera Productiva,BP LITORAL,2.37817246,2022,1
Morosidad de Cartera de Microcrédito,BP LITORAL,8.54247108,2022,1
Morosidad de Cartera de Consumo,BP COOPNACIONAL,3.2881069999999997,2022,1
Morosidad de Cartera de Vivienda,BP COOPNACIONAL,0.0027037199999999997,2022,1
Morosidad de Cartera Productiva,BP COOPNACIONAL,0,2022,1
Morosidad de Cartera de Microcrédito,BP COOPNACIONAL,1.49958178,2022,1
Morosidad de Cartera de Consumo,BP CAPITAL,4.45611906,2022,1
Morosidad de Cartera de Vivienda,BP CAPITAL,100,2022,1
Morosidad de Cartera Productiva,BP CAPITAL,0.8441704,2022,1
Morosidad de Cartera de Microcrédito,BP CAPITAL,11.799951440000001,2022,1
Morosidad de Cartera de Consumo,BP FINCA S.A.,14.32866239,2022,1
Morosidad de Cartera de Vivienda,BP FINCA S.A.,0,2022,1
Morosidad de Cartera Productiva,BP FINCA S.A.,0,2022,1
Morosidad de Cartera de Microcrédito,BP FINCA S.A.,9.56010779,2022,1
Morosidad de Cartera de Consumo,BP DELBANK,7.7314241500000005,2022,1
Morosidad de Cartera de Vivienda,BP DELBANK,2.59002402,2022,1
Morosidad de Cartera Productiva,BP DELBANK,1.6525831800000002,2022,1
Morosidad de Cartera de Microcrédito,BP DELBANK,7.65643838,2022,1
Morosidad de Cartera de Consumo,BP D-MIRO S.A.,0,2022,1
Morosidad de Cartera de Vivienda,BP D-MIRO S.A.,0,2022,1
Morosidad de Cartera Productiva,BP D-MIRO S.A.,0,2022,1
Morosidad de Cartera de Microcrédito,BP D-MIRO S.A.,5.35349042,2022,1
Morosidad de Cartera de Consumo,BP CODESARROLLO,3.5004788600000003,2022,1
Morosidad de Cartera de Vivienda,BP CODESARROLLO,3.0744990199999997,2022,1
Morosidad de Cartera Productiva,BP CODESARROLLO,1.12048509,2022,1
Morosidad de Cartera de Microcrédito,BP CODESARROLLO,9.81258716,2022,1
Morosidad de Cartera de Consumo,BP VISIONFUND ECUADOR S.A.,0,2022,1
Morosidad de Cartera de Vivienda,BP VISIONFUND ECUADOR S.A.,0,2022,1
Morosidad de Cartera Productiva,BP VISIONFUND ECUADOR S.A.,0,2022,1
Morosidad de Cartera de Microcrédito,BP VISIONFUND ECUADOR S.A.,5.2648746300000004,2022,1
Morosidad de Cartera de Consumo,BANCOS PRIVADOS PEQUEÑOS,4.8230357,2022,1
Morosidad de Cartera de Vivienda,BANCOS PRIVADOS PEQUEÑOS,2.4398150100000002,2022,1
Morosidad de Cartera Productiva,BANCOS PRIVADOS PEQUEÑOS,2.04181643,2022,1
Morosidad de Cartera de Microcrédito,BANCOS PRIVADOS PEQUEÑOS,6.45288482,2022,1
Morosidad de Cartera de Consumo,TOTAL BANCOS PRIVADOS,3.25587356,2022,1
Morosidad de Cartera de Vivienda,TOTAL BANCOS PRIVADOS,3.65561557,2022,1
Morosidad de Cartera Productiva,TOTAL BANCOS PRIVADOS,0.99378912,2022,1
Morosidad de Cartera de Microcrédito,TOTAL BANCOS PRIVADOS,4.1923241,2022,1
Morosidad de Cartera de Consumo,BANCOS PRIVADOS COMERCIALES,4.33844788,2022,1
Morosidad de Cartera de Vivienda,BANCOS PRIVADOS COMERCIALES,2.69199492,2022,1
Morosidad de Cartera Productiva,BANCOS PRIVADOS COMERCIALES,0.12424391,2022,1
Morosidad de Cartera de Microcrédito,BANCOS PRIVADOS COMERCIALES,6.39993076,2022,1
Morosidad de Cartera de Consumo,BANCOS PRIVADOS CONSUMO,3.43756741,2022,1
Morosidad de Cartera de Vivienda,BANCOS PRIVADOS CONSUMO,2.46344622,2022,1
Morosidad de Cartera Productiva,BANCOS PRIVADOS CONSUMO,2.34845733,2022,1
Morosidad de Cartera de Microcrédito,BANCOS PRIVADOS CONSUMO,8.54346562,2022,1
Morosidad de Cartera de Consumo,BANCOS PRIVADOS VIVIENDA,0,2022,1
Morosidad de Cartera de Vivienda,BANCOS PRIVADOS VIVIENDA,0,2022,1
Morosidad de Cartera Productiva,BANCOS PRIVADOS VIVIENDA,0,2022,1
Morosidad de Cartera de Microcrédito,BANCOS PRIVADOS VIVIENDA,0,2022,1
Morosidad de Cartera de Consumo,BANCOS PRIVADOS MICROCRÉDITO,14.177152740000002,2022,1
Morosidad de Cartera de Vivienda,BANCOS PRIVADOS MICROCRÉDITO,0,2022,1
Morosidad de Cartera Productiva,BANCOS PRIVADOS MICROCRÉDITO,0,2022,1
Morosidad de Cartera de Microcrédito,BANCOS PRIVADOS MICROCRÉDITO,6.442289700000001,2022,1
Morosidad de Cartera de Consumo,BANCA MÚLTIPLE,3.16825045,2022,1
Morosidad de Cartera de Vivienda,BANCA MÚLTIPLE,3.7665099200000003,2022,1
Morosidad de Cartera Productiva,BANCA MÚLTIPLE,1.1337641299999999,2022,1
Morosidad de Cartera de Microcrédito,BANCA MÚLTIPLE,3.9712060100000004,2022,1
Morosidad de Cartera de Consumo,BP GUAYAQUIL,1.4792935,2022,2
Morosidad de Cartera de Vivienda,BP GUAYAQUIL,2.19186221,2022,2
Morosidad de Cartera Productiva,BP GUAYAQUIL,0.7846832899999999,2022,2
Morosidad de Cartera de Microcrédito,BP GUAYAQUIL,3.1727733700000003,2022,2
Morosidad de Cartera de Consumo,BP PACIFICO,3.2507751600000003,2022,2
Morosidad de Cartera de Vivienda,BP PACIFICO,4.60212161,2022,2
Morosidad de Cartera Productiva,BP PACIFICO,2.08654697,2022,2
Morosidad de Cartera de Microcrédito,BP PACIFICO,28.959531560000002,2022,2
Morosidad de Cartera de Consumo,BP PICHINCHA,3.08230696,2022,2
Morosidad de Cartera de Vivienda,BP PICHINCHA,4.30234368,2022,2
Morosidad de Cartera Productiva,BP PICHINCHA,1.6891202099999998,2022,2
Morosidad de Cartera de Microcrédito,BP PICHINCHA,3.4590776500000002,2022,2
Morosidad de Cartera de Consumo,BP PRODUBANCO,2.97973222,2022,2
Morosidad de Cartera de Vivienda,BP PRODUBANCO,3.43133417,2022,2
Morosidad de Cartera Productiva,BP PRODUBANCO,0.54791561,2022,2
Morosidad de Cartera de Microcrédito,BP PRODUBANCO,2.8638016,2022,2
Morosidad de Cartera de Consumo,BANCOS PRIVADOS GRANDES,2.79191519,2022,2
Morosidad de Cartera de Vivienda,BANCOS PRIVADOS GRANDES,4.02495107,2022,2
Morosidad de Cartera Productiva,BANCOS PRIVADOS GRANDES,1.2269357200000002,2022,2
Morosidad de Cartera de Microcrédito,BANCOS PRIVADOS GRANDES,3.5210007100000005,2022,2
Morosidad de Cartera de Consumo,BP AUSTRO,7.28228535,2022,2
Morosidad de Cartera de Vivienda,BP AUSTRO,1.8657831,2022,2
Morosidad de Cartera Productiva,BP AUSTRO,1.1869949,2022,2
Morosidad de Cartera de Microcrédito,BP AUSTRO,14.843242649999999,2022,2
Morosidad de Cartera de Consumo,BP BOLIVARIANO,3.08921372,2022,2
Morosidad de Cartera de Vivienda,BP BOLIVARIANO,2.87636504,2022,2
Morosidad de Cartera Productiva,BP BOLIVARIANO,0.25045499,2022,2
Morosidad de Cartera de Microcrédito,BP BOLIVARIANO,0,2022,2
Morosidad de Cartera de Consumo,BP CITIBANK,0,2022,2
Morosidad de Cartera de Vivienda,BP CITIBANK,0,2022,2
Morosidad de Cartera Productiva,BP CITIBANK,8.799999999999999e-7,2022,2
Morosidad de Cartera de Microcrédito,BP CITIBANK,0,2022,2
Morosidad de Cartera de Consumo,BP DINERS,3.91389438,2022,2
Morosidad de Cartera de Vivienda,BP DINERS,0,2022,2
Morosidad de Cartera Productiva,BP DINERS,2.39089536,2022,2
Morosidad de Cartera de Microcrédito,BP DINERS,0,2022,2
Morosidad de Cartera de Consumo,BP GENERAL RUMIÑAHUI,1.9996468,2022,2
Morosidad de Cartera de Vivienda,BP GENERAL RUMIÑAHUI,2.30033828,2022,2
Morosidad de Cartera Productiva,BP GENERAL RUMIÑAHUI,2.24539484,2022,2
Morosidad de Cartera de Microcrédito,BP GENERAL RUMIÑAHUI,100,2022,2
Morosidad de Cartera de Consumo,BP INTERNACIONAL,4.78686933,2022,2
Morosidad de Cartera de Vivienda,BP INTERNACIONAL,2.67685392,2022,2
Morosidad de Cartera Productiva,BP INTERNACIONAL,0.14939684,2022,2
Morosidad de Cartera de Microcrédito,BP INTERNACIONAL,4.45331052,2022,2
Morosidad de Cartera de Consumo,BP LOJA,2.06127836,2022,2
Morosidad de Cartera de Vivienda,BP LOJA,2.22996052,2022,2
Morosidad de Cartera Productiva,BP LOJA,2.04574977,2022,2
Morosidad de Cartera de Microcrédito,BP LOJA,2.89464954,2022,2
Morosidad de Cartera de Consumo,BP MACHALA,2.37145497,2022,2
Morosidad de Cartera de Vivienda,BP MACHALA,1.9595696700000003,2022,2
Morosidad de Cartera Productiva,BP MACHALA,0.53019271,2022,2
Morosidad de Cartera de Microcrédito,BP MACHALA,7.089355629999999,2022,2
